fecha,region,consumo,mes,dia_semana,fin_de_semana,temperatura
2018-11-23,Antioquia,28.04285179,11,5,0,19.852083333333333
2018-11-24,Antioquia,26.11778408,11,6,1,20.54375
2018-11-25,Antioquia,22.92358444,11,7,1,19.797916666666666
2018-11-26,Antioquia,27.5599848,11,1,0,19.110416666666666
2018-11-27,Antioquia,27.67041739,11,2,0,19.047916666666666
2018-11-28,Antioquia,27.85191419,11,3,0,18.939583333333335
2018-11-29,Antioquia,27.84765161,11,4,0,20.266666666666666
2018-11-30,Antioquia,27.88295974,11,5,0,19.764583333333334
2018-12-01,Antioquia,25.46808234,12,6,1,19.833333333333332
2018-12-02,Antioquia,22.51489663,12,7,1,20.022916666666667
2018-12-03,Antioquia,27.39579865,12,1,0,20.212500000000002
2018-12-04,Antioquia,27.93058421,12,2,0,20.327083333333334
2018-12-05,Antioquia,27.40608032,12,3,0,18.564583333333335
2018-12-06,Antioquia,27.37877577,12,4,0,19.610416666666666
2018-12-07,Antioquia,26.84589947,12,5,0,19.53125
2018-12-08,Antioquia,22.9899883,12,6,1,20.5
2018-12-09,Antioquia,22.2840342,12,7,1,20.704166666666666
2018-12-10,Antioquia,27.56792923,12,1,0,21.097916666666666
2018-12-11,Antioquia,27.92634407,12,2,0,20.441666666666666
2018-12-12,Antioquia,27.62292874,12,3,0,21.316666666666666
2018-12-13,Antioquia,28.08628734,12,4,0,20.995652173913044
2018-12-14,Antioquia,27.96308361,12,5,0,20.1875
2018-12-15,Antioquia,25.51005816,12,6,1,19.552083333333332
2018-12-16,Antioquia,22.69813961,12,7,1,21.135416666666668
2018-12-17,Antioquia,27.03708507,12,1,0,20.397916666666667
2018-12-18,Antioquia,27.57105721,12,2,0,20.45625
2018-12-19,Antioquia,27.66018135,12,3,0,21.46666666666667
2018-12-20,Antioquia,27.72904712,12,4,0,20.712500000000002
2018-12-21,Antioquia,27.1377476,12,5,0,19.977083333333333
2018-12-22,Antioquia,24.97125379,12,6,1,19.181250000000002
2018-12-23,Antioquia,22.01487799,12,7,1,20.318749999999998
2018-12-24,Antioquia,22.39597585,12,1,0,21.195833333333333
2018-12-25,Antioquia,19.53546877,12,2,0,21.7625
2018-12-26,Antioquia,25.22637579,12,3,0,21.425
2018-12-27,Antioquia,26.18761006,12,4,0,20.714583333333334
2018-12-28,Antioquia,26.18338767,12,5,0,21.16875
2018-12-29,Antioquia,24.53297286,12,6,1,20.777083333333334
2018-12-30,Antioquia,21.95466256,12,7,1,21.349999999999998
2018-12-31,Antioquia,21.515427,12,1,0,21.520833333333332
2019-01-01,Antioquia,18.56644551,1,2,0,22.006249999999998
2019-01-02,Antioquia,24.15020456,1,3,0,21.639583333333334
2019-01-03,Antioquia,25.66997169,1,4,0,21.889583333333334
2019-01-04,Antioquia,26.17002484,1,5,0,22.172916666666666
2019-01-05,Antioquia,24.83563371,1,6,1,21.708333333333332
2019-01-06,Antioquia,21.62087853,1,7,1,20.977083333333333
2019-01-07,Antioquia,21.59898504,1,1,0,20.0
2019-01-08,Antioquia,26.12175827,1,2,0,19.341666666666665
2019-01-09,Antioquia,26.03122088,1,3,0,18.010416666666668
2019-01-10,Antioquia,26.15156614,1,4,0,18.697916666666668
2019-01-11,Antioquia,26.48398243,1,5,0,19.291666666666668
2019-01-12,Antioquia,24.99244515,1,6,1,19.3875
2019-01-13,Antioquia,21.86473335,1,7,1,19.54375
2019-01-14,Antioquia,26.31007051,1,1,0,19.01875
2019-01-15,Antioquia,26.94645129,1,2,0,20.322916666666668
2019-01-16,Antioquia,27.26411458,1,3,0,21.085416666666667
2019-01-17,Antioquia,27.24314563,1,4,0,19.572916666666668
2019-01-18,Antioquia,27.3373562,1,5,0,21.03125
2019-01-19,Antioquia,25.83322599,1,6,1,21.389583333333334
2019-01-20,Antioquia,22.29341237,1,7,1,21.412499999999998
2019-01-21,Antioquia,26.96862854,1,1,0,20.747916666666665
2019-01-22,Antioquia,27.62189157,1,2,0,22.058333333333334
2019-01-23,Antioquia,27.84469467,1,3,0,23.099999999999998
2019-01-24,Antioquia,28.18945933,1,4,0,22.758333333333336
2019-01-25,Antioquia,28.1311159,1,5,0,21.610416666666666
2019-01-26,Antioquia,26.18397373,1,6,1,22.1125
2019-01-27,Antioquia,22.80250697,1,7,1,21.395833333333332
2019-01-28,Antioquia,27.41574099,1,1,0,19.381249999999998
2019-01-29,Antioquia,27.66075704,1,2,0,20.529166666666665
2019-01-30,Antioquia,27.53639748,1,3,0,20.648936170212767
2019-01-31,Antioquia,27.89949284,1,4,0,20.822916666666668
2019-02-01,Antioquia,28.03789756,2,5,0,20.747916666666665
2019-02-02,Antioquia,25.89979043,2,6,1,20.797916666666666
2019-02-03,Antioquia,21.97179956,2,7,1,21.133333333333333
2019-02-04,Antioquia,27.68845994,2,1,0,21.347916666666666
2019-02-05,Antioquia,28.23166781,2,2,0,21.310416666666665
2019-02-06,Antioquia,28.30492956,2,3,0,21.254166666666666
2019-02-07,Antioquia,28.4578685,2,4,0,21.141666666666666
2019-02-08,Antioquia,28.22007118,2,5,0,20.8875
2019-02-09,Antioquia,26.27098108,2,6,1,20.485416666666666
2019-02-10,Antioquia,22.82341316,2,7,1,20.433333333333334
2019-02-11,Antioquia,28.20402363,2,1,0,21.989583333333332
2019-02-12,Antioquia,28.36214659,2,2,0,21.583333333333332
2019-02-13,Antioquia,28.71031362,2,3,0,22.797916666666666
2019-02-14,Antioquia,28.78221756,2,4,0,21.650000000000002
2019-02-15,Antioquia,28.81392553,2,5,0,22.183333333333334
2019-02-16,Antioquia,26.58277628,2,6,1,21.625
2019-02-17,Antioquia,22.83174385,2,7,1,21.091666666666665
2019-02-18,Antioquia,28.04471328,2,1,0,20.889583333333334
2019-02-19,Antioquia,27.72715006,2,2,0,19.129166666666666
2019-02-20,Antioquia,27.63069997,2,3,0,19.695833333333333
2019-02-21,Antioquia,27.97769413,2,4,0,21.639583333333334
2019-02-22,Antioquia,28.10131894,2,5,0,22.338297872340426
2019-02-23,Antioquia,26.46649941,2,6,1,20.820833333333333
2019-02-24,Antioquia,22.56625145,2,7,1,20.443749999999998
2019-02-25,Antioquia,27.46226201,2,1,0,20.947916666666668
2019-02-26,Antioquia,28.00930808,2,2,0,19.822916666666668
2019-02-27,Antioquia,27.65043958,2,3,0,18.20625
2019-02-28,Antioquia,27.33215109,2,4,0,19.520833333333332
2019-03-01,Antioquia,27.41950847,3,5,0,20.227083333333333
